dot1,dot2,LateralDistance,ShouldCount
0.893442,-0.65880334,0.036646605,0
0.8597964,0.6660094,0.05512935,1
0.30678368,0.6689645,0.022805084,1
0.9640992,0.72799844,0.031196771,1
0.7674571,0.6965978,0.04099792,0
0.4450686,0.630995,0.06490849,0
0.88741434,-0.47984052,0.025689406,0
0.8607522,0.6723437,0.028944563,1
0.37609324,0.67410254,0.01737058,1
0.6982899,0.6382011,0.06215652,0
0.6030586,0.70288575,0.021600114,1
0.95764184,-0.48903805,0.019337071,0
0.6318151,0.66315305,0.06130817,0
0.8507483,-0.58913654,0.052708723,0
0.8932972,0.67745787,0.047920655,0
0.8704689,-0.07072328,0.027631106,0
0.8729863,0.5627613,0.046327703,1
0.93959105,0.15892103,0.024580784,0
0.82130027,-0.52861255,0.025440827,0
0.22504503,0.5736586,0.04314412,1
0.5558516,0.6649325,0.056346133,0
0.79236543,-0.36581242,0.013047315,0
0.8508311,0.6803988,0.022842398,1
0.37562078,0.63369894,0.024000552,1
0.54839194,0.6248572,0.06206996,0
0.6747681,-0.27433267,0.014844278,0
0.97601855,0.6604058,0.041860543,1
0.33245838,0.69042224,0.03140788,0
0.11007255,0.6943315,0.008588678,1
0.51671934,-0.9342379,0.03396253,0
0.6801743,0.65310186,0.023758577,1
0.812964,0.63822573,0.06537535,0
0.9809274,-0.54938626,0.036302537,0
0.9923724,0.71466005,0.034869418,1
0.81586087,-0.15393102,0.008574377,0
0.80726117,0.9075353,0.08160923,0
0.7853382,0.94047743,0.015988948,1
0.8525547,0.8953841,0.047720764,1
0.77054465,0.94345963,0.02418184,1
0.81606555,0.95663345,0.051194005,1
0.7352322,0.6648379,0.027499927,1
0.6251619,-0.6585839,0.062670715,0
0.3315485,0.6943402,0.011046576,1
0.6523109,-0.7890805,0.019809319,0
0.7084389,0.7908101,0.01699525,1
0.05549842,0.74778533,0.029344289,1
0.7746829,0.6648597,0.025626535,1
0.94683564,0.68840855,0.053137,1
0.78896046,0.74190307,0.023411253,1
0.78233486,0.7499715,0.030296432,1